short_name,long_name,age,dob,height_cm,weight_kg,nationality,club
J. O'Sullivan,John O'Sullivan,25,1993-09-18,181,83,Republic of Ireland,Morecambe
J. Donacien,Janoi Donacien,25,1993-11-03,183,75,St Lucia,Ipswich Town
S. Spiridonović,Srđan Spiridonović,25,1993-10-13,172,69,Austria,Pogoń Szczecin
M. Kuttin,Manuel Kuttin,25,1993-12-17,194,94,Austria,Wolfsberger AC
Alex Vallejo,Alejandro Vallejo Mínguez,27,1992-01-26,189,74,Spain,CF Fuenlabrada
C. Álvarez,Cristian Marcelo Álvarez,26,1992-09-28,174,71,Argentina,América de Cali
D. Starkl,Dominik Starkl,25,1993-11-06,176,70,Austria,FC Admira Wacker Mödling
N. Quaschner,Nils Quaschner,25,1994-04-22,184,81,Germany,DSC Arminia Bielefeld
J. Thiaré,Jamal Thiaré,26,1993-03-31,183,68,Senegal,Le Havre AC
E. Mastrolía,Ezequiel Mastrolía,28,1991-03-25,183,81,Argentina,Club Atlético Talleres
G. Karlen,Gaëtan Karlen,26,1993-06-07,186,79,Switzerland,Neuchâtel Xamax
L. Shephard,Liam Shephard,24,1994-11-22,178,67,Wales,Forest Green Rovers
Wang Shangyuan,王上源,26,1993-06-02,185,70,China PR,Henan Jianye FC
M. Evouna,Malick Evouna,26,1992-11-28,185,80,Gabon,Santa Clara
A. Mosquera,Andrés Felipe Mosquera Marmolejo,27,1991-09-10,182,72,Colombia,Independiente Medellín
A. Al Shamekh,Abdullah Abdulkarim Al Shamekh,26,1993-05-28,176,76,Saudi Arabia,Al Shabab
Wang Tong,王彤,26,1993-02-12,179,71,China PR,Shandong Luneng TaiShan FC
Luo Senwen,罗森文,26,1993-01-16,188,80,China PR,Chongqing Dangdai Lifan FC SWM Team
R. Arciero,Rodrigo Sebastián Arciero,26,1993-03-12,177,70,Argentina,Club Atlético Banfield
Hu Yanqiang,胡延强,26,1993-03-20,178,60,China PR,Beijing Sinobo Guoan FC
Luo Jing,罗竞,25,1993-11-04,180,72,China PR,Jiangsu Suning FC
Z. Gordon,Ziggy Gordon,26,1993-04-23,180,77,Scotland,Central Coast Mariners
S. Al Jaman,Saleh Al Jaman,25,1993-10-14,174,65,Saudi Arabia,Ettifaq FC
G. Alanís,Gabriel Gustavo Alanís,25,1994-03-16,186,73,Argentina,Godoy Cruz
S. Leyton,Sebastián Ignacio Leyton Hevia,26,1993-04-13,177,68,Chile,Unión La Calera
N. Maeda,前田 尚輝,24,1994-11-17,175,66,Japan,Nagoya Grampus
Emanuel Novo,Emanuel Rodrigues Novo,26,1992-08-26,190,78,Portugal,FC Hermannstadt
A. Calcan,Andreias Calcan,25,1994-04-09,172,74,Romania,FC Viitorul
S. Vergara,Sergio Vergara,25,1994-04-27,170,68,Chile,CD Everton de Viña del Mar
D. Petković,Danijel Petković,26,1993-05-25,197,90,Montenegro,Angers SCO
F. Boló,Franco Emanuel Bolo,25,1994-02-04,170,70,Argentina,Deportivo Pasto
A. Foosnæs,Aleksander Foosnæs,25,1994-06-05,172,69,Norway,Ranheim Fotball
S. Strand,Simon Strand,26,1993-05-25,175,70,Sweden,IF Elfsborg
I. Durmuş,İlkay Durmuş,25,1994-05-01,180,73,Turkey,St. Mirren
Diogo Silva,Diogo Miguel Oliveira Silva,26,1993-05-13,189,82,Portugal,CD Tondela
E. Pap,Eduard Pap,25,1994-07-01,182,82,Romania,FC Botoşani
R. Garcia,Rafael Garcia,25,1993-09-27,181,75,Germany,Chemnitzer FC
D. Kovačec,Dino Kovačec,25,1993-12-27,178,71,Croatia,WSG Tirol
Márcio Meira,Márcio André Meira Fernandes,25,1994-01-09,169,63,Portugal,Gil Vicente FC
M. Birighitti,Mark Birighitti,28,1991-04-17,189,84,Australia,Central Coast Mariners
O. Söderberg,Ole Söderberg,28,1990-07-20,194,94,Sweden,AFC Eskilstuna
D. Achucarro,David Eduardo Achucarro Trinidad,28,1991-01-05,178,79,Argentina,Cúcuta Deportivo
M. Maak,Matthias Maak,27,1992-05-12,191,87,Austria,SCR Altach
R. Allsop,Ryan Allsop,27,1992-06-17,189,80,England,Wycombe Wanderers
N. Ralph,Nathan Ralph,26,1993-02-14,175,70,England,Southend United
J. Tamm,Joonas Tamm,27,1992-02-02,192,97,Estonia,Lillestrøm SK
D. Rose,Danny Rose,25,1993-12-10,173,72,England,Mansfield Town
C. Cropper,Cody Cropper,26,1993-02-16,193,91,United States,New England Revolution
C. Diop,Clément Diop Degoud,25,1993-10-12,185,77,Senegal,Montreal Impact
Jean Deretti,Jean Alexandre Deretti,26,1993-05-01,174,65,Brazil,Academica Clinceni
P. Sweeney,Pierce Sweeney,24,1994-09-11,178,80,Republic of Ireland,Exeter City
P. Kühn,Philipp Kühn,26,1992-09-02,189,95,Germany,VfL Osnabrück
J. Tillson,Jordan Tillson,26,1993-03-05,183,67,England,Exeter City
N. Chamed,Nasser Chamed,25,1993-10-04,175,76,Comoros,Gaz Metan Mediaş
K. Baccus,Kearyn Baccus,27,1991-09-05,180,75,Australia,Kaizer Chiefs
C. Nielsen,Casper Højer Nielsen,24,1994-11-20,184,80,Denmark,Aarhus GF
S. Patzler,Sebastian Patzler,28,1990-10-24,190,80,Germany,Viktoria Köln
P. Retre,Paulo Retre,26,1993-03-04,178,75,Australia,Sydney FC
B. Perea,Brayan Perea,26,1993-02-25,189,78,Colombia,Independiente Santa Fe
J. Beaulieu,Jonathan Beaulieu,26,1993-03-11,180,65,France,FC Chambly Oise
P. Tschernegg,Peter Tschernegg,26,1992-07-23,181,75,Austria,TSV Hartberg
J. Vojtuš,Jakub Vojtuš,25,1993-10-22,186,74,Slovakia,Academica Clinceni
U. Saltnes,Ulrik Saltnes,26,1992-11-10,187,78,Norway,FK Bodø/Glimt
Mi Haolun,糜昊伦,26,1993-01-10,175,60,China PR,Tianjin Quanjian FC
V. Vasić,Vaso Vasić,29,1990-04-26,186,80,Serbia,Royal Excel Mouscron
B. Touré,Ibrahim Blati Touré,24,1994-08-04,170,65,Ivory Coast,Vitória Guimarães
J. Chapman,Jay Chapman,25,1994-01-01,183,71,Canada,Toronto FC
K. Woolery,Kaiyne Woolery,24,1995-01-11,181,78,England,Swindon Town
Kako Sanz,Alejandro Sanz Sainz,26,1993-06-05,181,70,Spain,CD Numancia
Ángel García,Ángel García Cabezali,26,1993-02-03,185,85,Spain,Wisła Płock
D. Kiki,David Enagnon Kiki,25,1993-11-25,180,76,Benin,Stade Brestois 29
D. Donohue,Dion Donohue,25,1993-08-26,180,71,Wales,Mansfield Town
M. Firenze,Marco Firenze,26,1993-06-26,180,70,Italy,US Salernitana 1919
M. Ošs,Mārcis Ošs,27,1991-07-25,191,93,Latvia,Neuchâtel Xamax
S. Kobayashi,小林 誠吾,25,1994-01-08,176,67,Japan,Oita Trinita
K. Enghardt,Kasper Enghardt,27,1992-05-27,186,83,Denmark,Lyngby BK
S. Chabbi,Seifedin  Chabbi,25,1993-07-04,189,77,Tunisia,Gazişehir Gaziantep F.K.
A. Hopmark,Andreas Hopmark,27,1991-07-06,192,88,Norway,Kristiansund BK
J. Dem,Jamil Dem,26,1993-03-09,182,72,Germany,SG Sonnenhof Großaspach
L. Wolsztyński,Łukasz Wolsztyński,24,1994-12-08,183,73,Poland,Górnik Zabrze
Y. Goto,Yusuke Goto,26,1993-04-23,171,70,Japan,Oita Trinita
J. Salcedo,Juan José Salcedo,26,1993-05-27,176,68,Colombia,Once Caldas
E. Papa,Enriko Papa,26,1993-03-12,178,75,Albania,FC Botoşani
K. Debaty,Kevin Debaty,30,1989-06-12,189,80,Belgium,Waasland-Beveren
L. Kalludra,Liridon Kalludra,27,1991-11-05,170,68,Sweden,Kristiansund BK
F. Kastrati,Flamur Kastrati,27,1991-11-14,180,77,Kosovo,Kristiansund BK
M. Bakenga,Mushagalusa Bakenga Joar Namugunga,26,1992-08-08,181,77,Norway,Tromsø IL
A. Zamora,Alonso René Zamora Barrera,27,1991-11-07,179,74,Mexico,Puebla FC
T. Björkström,Tim Björkström,28,1991-01-08,180,76,Sweden,IK Sirius
G. Kongshavn,Gudmund Taksdal Kongshavn,28,1991-01-23,189,90,Norway,Tromsø IL
W. Cuero,Wilson Antonio Cuero Llano,27,1992-01-27,177,78,Colombia,Alianza Petrolera
J. Proctor,Jamie Proctor,27,1992-03-25,188,78,England,Rotherham United
G. Álvarez,Gilbert Álvarez,27,1992-04-07,187,81,Bolivia,Bolivia
N. Cameron,Nathan Cameron,27,1991-11-21,188,78,England,Macclesfield Town
C. McAleny,Conor McAleny,26,1992-08-12,178,66,England,Fleetwood Town
M. Jurdík,Milan Jurdík,27,1991-11-08,186,73,Czech Republic,WSG Tirol
A. Sarcevic,Antoni Sarcevic,27,1992-03-13,183,71,England,Plymouth Argyle
J. Kamber,Janick Kamber,27,1992-02-26,171,65,Switzerland,Neuchâtel Xamax
D. Offenbacher,Daniel Offenbacher,27,1992-02-18,174,70,Austria,FC Hermannstadt
B. Ibini,Bernie Ibini-Isei,26,1992-09-12,174,63,Australia,Jeonbuk Hyundai Motors
L. Norris,Luke Norris 'Hacker',26,1993-06-03,184,84,England,Colchester United
H. Ben Moussa,Hilal Ben Moussa,27,1992-05-22,173,72,Netherlands,Sepsi OSK
R. Bennett,Rhys Bennett,27,1991-09-01,191,76,England,Peterborough United
M. Jeannin,Mehdi Jeannin,28,1991-04-20,187,81,Algeria,Clermont Foot 63
R. Bouhenna,Rachid Bouhenna,28,1991-06-29,191,85,Algeria,Sepsi OSK
T. Dieng,Timothée Dieng,27,1992-04-09,189,79,France,Southend United
G. Morrissey,Gearóid Morrissey,27,1991-11-17,183,81,Republic of Ireland,Cork City
J. Tveita,Jon-Helge Tveita,27,1992-01-27,184,80,Norway,Sarpsborg 08 FF
B. Dickenson,Brennan Dickenson,26,1993-02-26,184,81,England,Milton Keynes Dons
Han Yong Su,한용수 汉永苏,29,1990-05-05,184,80,Korea Republic,Gangwon FC
L. Zuta,Leonard Zuta,26,1992-08-09,180,75,FYR Macedonia,Atiker Konyaspor
S. Grether,Simon Grether,27,1992-05-20,179,77,Switzerland,FC Luzern
O. Ademi,Orhan Ademi,27,1991-10-28,189,85,Switzerland,Eintracht Braunschweig
B. Rowe,Brian Rowe,30,1988-11-16,185,84,United States,Orlando City SC
S. Al Sawadi,Sultan Ali Al Sawadi,26,1992-12-14,172,63,Saudi Arabia,Al Raed
N. Brock-Madsen,Nicolai Brock-Madsen,26,1993-01-09,190,80,Denmark,AC Horsens
D. Dziwniel,Daniel Dziwniel,26,1992-08-19,178,72,Poland,Korona Kielce
B. Moe,Brede Mathias Moe,27,1991-12-15,185,80,Norway,FK Bodø/Glimt
I. Berezovskyi,Ihor Berezovskyi,28,1990-08-24,193,87,Ukraine,SV Darmstadt 98
A. Kann,Alec Kann,28,1990-08-08,193,86,United States,Atlanta United
Y. Asprilla,Yuber Alberto Asprilla Viera,26,1992-11-12,163,59,Colombia,Atlético Bucaramanga
M. Rosales,Mauricio Rosales,27,1992-03-10,174,74,Argentina,Estudiantes de La Plata
F. Coniglio,Fernando Coniglio,27,1991-11-24,185,84,Argentina,Club Atlético Huracán
S. Sané,Saliou Sané,26,1992-07-19,187,86,Germany,Karlsruher SC
O. Palmer,Ollie Palmer,27,1992-01-21,196,92,England,Crawley Town
J. Manconi,Jacopo Manconi,25,1994-04-24,180,72,Italy,Perugia
Han Seok Jong,한석종 韩钟硕,26,1992-07-19,186,77,Korea Republic,Sangju Sangmu FC
J. Biada,Julius Biada,26,1992-11-03,178,76,Germany,SV Sandhausen
M. Demetriou,Mickey Demetriou,29,1990-03-12,180,72,England,Newport County
D. Luxbacher,Daniel Luxbacher,27,1992-03-13,174,71,Austria,SKN St. Pölten
N. Aankour,Nabil Aankour,25,1993-08-09,172,70,Morocco,Arka Gdynia
Jon García,Jon García Herrero,28,1991-06-04,177,70,Spain,SD Ponferradina
S. Rouiller,Steve Rouiller,28,1990-07-10,183,74,Switzerland,Servette FC
I. Jónsson,Ingvar Jónsson,29,1989-10-18,189,82,Iceland,Iceland
F. Azemi,Fitim Azemi,27,1992-06-25,185,81,Norway,Tromsø IL
K. Hoggas,Kévin Hoggas,27,1991-11-16,183,77,France,KSV Cercle Brugge
F. Madrigal,Fernando Madrigal González,27,1991-11-12,176,70,Mexico,Atlético de San Luis
Nacho,Ignacio Agustín Sánchez Romo,26,1993-02-11,177,70,Spain,CD Numancia
N. Karger,Nico Karger,26,1993-02-01,183,74,Germany,TSV 1860 München
T. Endoh,遠藤 翼,25,1993-08-20,170,66,Japan,Toronto FC
O. Hawkins,Oliver Hawkins,27,1992-04-08,199,92,England,Portsmouth
Heo Yong Joon,허용준 许榕俊,26,1993-01-08,184,75,Korea Republic,Pohang Steelers
Han Hee Hoon,한희훈 韩献熙,28,1990-08-10,183,78,Korea Republic,Daegu FC
T. Morita,守田 達弥,28,1990-08-03,191,87,Japan,Matsumoto Yamaga
A. Al Qahtani,Abdulkarim Ayidh Al Qahtani,26,1993-02-09,171,65,Saudi Arabia,Al Fayha
Y. Matsushita,松下 佳貴,25,1994-03-03,174,67,Japan,Vegalta Sendai
R. Shinzato,新里 亮,28,1990-07-02,184,70,Japan,Júbilo Iwata
S. Takagi,髙木 骏,30,1989-05-22,181,76,Japan,Oita Trinita
Y. Misao,三竿 雄斗,28,1991-04-16,175,70,Japan,Oita Trinita
H. Shimoda,下田 北斗,27,1991-11-07,171,64,Japan,Kawasaki Frontale
R. Babenko,Ruslan Babenko,26,1992-07-08,170,65,Ukraine,Raków Częstochowa
Y. Mamilonne,Yannick Mamilonne,27,1992-02-09,190,87,France,FC Chambly Oise
M. Huber,Michael Huber,29,1990-01-14,187,85,Austria,TSV Hartberg
K. Larson,Karl Larson,27,1991-09-16,176,70,Sweden,IK Sirius
D. van Crooij,Delano van Crooij,28,1991-06-05,185,78,Netherlands,VVV-Venlo
J. Pirinen,Juha Pirinen,27,1991-10-22,184,81,Finland,Tromsø IL
V. Hammershøj-Mistrati,Vito Hammershøj-Mistrati,27,1992-06-15,177,76,Denmark,Randers FC
R. Herrmann,Robert Herrmann,25,1993-08-10,180,73,Germany,FC Würzburger Kickers
A. Peteleu,Ionuț Andrei Peteleu,26,1992-08-20,182,76,Romania,CFR Cluj
J. Riquett,Jáider Alfonso Riquett Molina,29,1990-05-10,184,80,Colombia,La Equidad
F. Grahl,Francisco Grahl,27,1991-09-14,170,68,Argentina,Club Atlético Aldosivi
A. Al Nemer,Ali Al Nemer,27,1991-08-25,173,60,Saudi Arabia,Al Wehda
Y. Andia,Yonathan Wladimir Andía León,26,1992-08-06,175,71,Chile,Unión La Calera
M. Laurent,Mégan Laurent,27,1992-03-24,169,61,Belgium,KAS Eupen
J. Matuwila,José-Junior  Matuwila,27,1991-09-20,186,80,Angola,1. FC Kaiserslautern
D. Bertrand,Dorian Bertrand,26,1993-05-21,176,64,France,AS Nancy Lorraine
S. Rénot,Sébastien Rénot,29,1989-11-11,185,80,France,ESTAC Troyes
H. Amin,Hassan Amin,27,1991-10-12,174,69,Afghanistan,SV Meppen
M. Savković,Mile Savković,26,1992-11-03,174,67,Serbia,Jagiellonia Białystok
K. Onose,小野瀬 康介,26,1993-04-22,177,65,Japan,Gamba Osaka
Y. Hoshi,Yuji Hoshi,26,1992-07-27,170,72,Japan,Oita Trinita
K. Isa,Kohei Isa,27,1991-11-11,175,73,Japan,Oita Trinita
A. Ibayashi,井林 章,28,1990-09-05,179,70,Japan,Sanfrecce Hiroshima
Park Ilgyu,박일규 朴一圭,29,1989-12-22,180,76,Korea Republic,Yokohama F. Marinos
K. Hattori,Kohei Hattori,28,1991-04-04,188,80,Japan,Matsumoto Yamaga
Maguinho,Magno José da Silva,27,1992-01-06,173,69,Brazil,Kawasaki Frontale
B. Sekulić,Boris Sekulić,27,1991-11-21,187,82,Slovakia,Górnik Zabrze
J. Mullin,Josh Mullin,26,1992-09-01,178,67,Scotland,Ross County FC
I. Goranov,Ivan Goranov,27,1992-06-10,177,74,Bulgaria,Bulgaria
P. Green,Paul  Green,36,1983-04-10,170,77,Republic of Ireland,Crewe Alexandra
G. Morris,Glenn Morris,35,1983-12-20,183,70,England,Crawley Town
J. Jönsson,Jon Jönsson,35,1983-07-08,183,75,Sweden,IF Elfsborg
P. Clarke,Peter Clarke,37,1982-01-03,183,83,England,Fleetwood Town
J. McAnuff,Jobi  McAnuff,37,1981-11-09,177,73,Jamaica,Leyton Orient
L. Holmes,Lee Holmes,32,1987-04-02,175,66,England,Exeter City
T. Berni,Tommaso Berni,36,1983-03-06,185,80,Italy,Inter
D. Haas,Daniel Haas,35,1983-08-01,188,84,Germany,FC Erzgebirge Aue
L. Miller,Lee Miller,36,1983-05-18,188,77,Scotland,Livingston FC
L. Walthert,Laurent Walthert,35,1984-03-30,178,72,Switzerland,Neuchâtel Xamax
D. Potter,Darren  Potter,34,1984-12-21,185,72,Republic of Ireland,Tranmere Rovers
R. Foster,Richard Foster,33,1985-07-31,176,73,Scotland,St. Johnstone FC
D. Lewington,Dean Lewington,35,1984-05-18,183,86,England,Milton Keynes Dons
S. MacLean,Steven MacLean,36,1982-08-23,180,79,Scotland,Heart of Midlothian
C. Muñoz,Cristian Fernando Muñoz Hoffman,42,1977-07-01,177,73,Argentina,CD Universidad de Concepción
David Prieto,David Prieto Gálvez,36,1983-01-02,185,79,Spain,CF Fuenlabrada
Carlos Caballero,Carlos Caballero Pérez,34,1984-10-05,174,69,Spain,CF Fuenlabrada
C. Vâtcă,Cosmin Andrei Vâtcă,37,1982-05-12,184,84,Romania,CFR Cluj
J. White,John White,32,1986-07-26,185,78,England,Southend United
A. Askar,Amin Soleiman Askar,33,1985-10-01,174,62,Ethiopia,Sarpsborg 08 FF
Choi Jae Soo,최재수 崔在洙,36,1983-05-02,175,68,Korea Republic,Gyeongnam FC
J. Borring,Jonas Borring,34,1985-01-04,193,81,Denmark,AC Horsens
M. Ørnskov,Martin Ørnskov,33,1985-10-10,185,82,Denmark,Lyngby BK
T. Gebauer,Thomas Gebauer,37,1982-06-30,193,88,Austria,LASK Linz
Ricardo Batista,Ricardo José Cecília Batista,32,1986-11-19,193,86,Portugal,Gaz Metan Mediaş
M. Cortés,Martín Miguel Cortés,36,1983-01-07,165,63,Argentina,Curicó Unido
N. Hoheneder,Niklas Hoheneder,32,1986-08-17,190,79,Austria,Chemnitzer FC
B. Fuller,Barry Fuller,34,1984-08-25,178,73,England,Gillingham
K. Chiba,千葉 和彦,34,1985-06-21,183,77,Japan,Nagoya Grampus
C. Eagles,Chris Eagles,33,1985-11-19,183,67,England,Oldham Athletic
J. Perch,James Perch,33,1985-09-28,180,80,England,Scunthorpe United
J. Forte,Jonathan Forte,32,1986-07-25,183,77,Barbados,Exeter City
L. Frecklington,Lee Frecklington,33,1985-09-08,180,75,Republic of Ireland,Lincoln City
T. Craig,Tony Craig,34,1985-04-20,185,79,England,Bristol Rovers
M. Papadopulos,Michal Papadopulos,34,1985-04-14,183,79,Czech Republic,Korona Kielce
C. Davies,Craig Davies,33,1986-01-09,188,85,Wales,Mansfield Town
J. Lillis,Josh Lillis,32,1987-06-24,183,79,England,Rochdale
Cho Yong Hyung,조용형 赵荣亨,35,1983-11-03,182,72,Korea Republic,Jeju United FC
Yang Sang Min,양상민 梁相珉,35,1984-04-24,182,78,Korea Republic,Suwon Samsung Bluewings
Kwak Tae Hwi,곽태휘 郭泰辉,37,1981-07-08,188,85,Korea Republic,Gyeongnam FC
C. McCann,Chris McCann,31,1987-07-21,185,75,Republic of Ireland,DC United
D. Stroh-Engel,Dominik Stroh-Engel,33,1985-11-27,197,94,Germany,SpVgg Unterhaching
P. Bürger,Patrick Bürger,32,1987-06-27,187,85,Austria,SV Mattersburg
L. Martin,Lee Martin,32,1987-02-09,180,80,England,Exeter City
E. Hernández,Edgar Adolfo Hernández Tellez,36,1982-08-27,185,83,Mexico,Club Atlas
M. Gardyne,Michael Gardyne,33,1986-01-23,170,64,Scotland,Ross County FC
R. McArdle,Rory McArdle,32,1987-05-01,185,73,Northern Ireland,Scunthorpe United
J. Grant,Joel Grant,31,1987-08-26,183,70,Jamaica,Plymouth Argyle
L. Prosser,Luke Prosser,31,1988-05-28,191,79,England,Colchester United
F. Sulmoni,Fulvio Sulmoni,33,1986-01-04,182,72,Switzerland,FC Lugano
C. Doudin,Charles Andre Doudin Doudin,32,1986-09-12,184,80,Switzerland,Neuchâtel Xamax
S. Davies,Steven Davies,31,1987-12-29,185,73,England,Hamilton Academical FC
L. Piątek,Łukasz Piątek,33,1985-09-21,180,73,Poland,LKS Lodz
A. Wordsworth,Anthony Wordsworth,30,1989-01-03,185,76,England,AFC Wimbledon
E. Upson,Edward Upson,29,1989-11-21,180,73,England,Bristol Rovers
R. Kitoko,Ritchie Kitoko,31,1988-06-11,177,71,Belgium,Racing Santander
E. Jónsson,Eggert Gunnthor Jonsson,30,1988-08-18,188,81,Iceland,SønderjyskE
M. Nielsen,Matti Lund Nielsen,31,1988-05-08,184,74,Denmark,Sarpsborg 08 FF
L. James,Lloyd James,31,1988-02-16,178,74,Wales,Forest Green Rovers
Bae Ki Jong,배기종 裴文钟,36,1983-05-26,180,75,Korea Republic,Gyeongnam FC
M. Gostomski,Maciej Gostomski,30,1988-09-27,195,90,Poland,FK Haugesund
J. Arvidsson,Jesper Arvidsson,34,1985-01-01,181,79,Sweden,IK Sirius
N. Feldhahn,Nicolas Feldhahn,32,1986-08-14,190,85,Germany,Bayern München II
L. Martínez,Luis Antonio Martínez Jiménez,32,1987-04-29,173,85,Mexico,Tiburones Rojos de Veracruz
R. Vincelot,Romain Vincelot,33,1985-10-29,177,71,France,Shrewsbury
A. Williams,Andrew Williams,32,1986-08-14,188,78,England,Northampton Town
F. Morais,Filipe Morais,33,1985-11-21,175,83,Portugal,Crawley Town
N. Malić,Nedeljko Malić,31,1988-05-15,192,85,Austria,SV Mattersburg
T. Pope,Tom Pope,33,1985-08-27,190,86,England,Port Vale
K. Bülow,Kai Bülow,33,1986-05-31,188,81,Germany,FC Hansa Rostock
Y. De Winter,Yves De Winter,32,1987-05-25,188,82,Belgium,Royal Antwerp FC
B. Olejnik,Robert Olejnik,32,1986-11-26,188,83,Austria,Mansfield Town
Ione Cabrera,Ione Agonay Jiménez Cabrera,33,1985-10-13,188,77,Spain,WSG Tirol
B. Mitrev,Bozhidar Konstantinov Mitrev,32,1987-03-31,185,85,Bulgaria,FC Voluntari
H. Singh,Harmeet Singh,28,1990-11-12,180,74,Norway,HJK Helsinki
R. Reid,Reuben James Reid,30,1988-07-26,183,77,England,Cheltenham Town
M. Viniegra,Manuel Viniegra García,31,1988-04-26,180,79,Mexico,FC Juárez
Park Won Jae,박원재 朴原载,35,1984-05-28,175,69,Korea Republic,Jeonbuk Hyundai Motors
H. Taniguchi,谷口 博之,34,1985-06-27,182,73,Japan,Sagan Tosu
G. Deegan,Gary Deegan,31,1987-09-28,176,75,Republic of Ireland,Cambridge United
Wang Xiaolong,王晓龙,33,1986-03-11,176,67,China PR,Tianjin Quanjian FC
G. Bolger,Greg Bolger,30,1988-09-09,180,73,Republic of Ireland,Shamrock Rovers
A. Legzdins,Adam Legzdins,32,1986-11-23,190,90,England,Burnley
S. Lang,Steven Lang,31,1987-09-03,177,68,Switzerland,Servette FC
K. Sheppard,Karl Sheppard,28,1991-02-14,181,80,Republic of Ireland,Cork City
C. Kröpfl,Christoph Kröpfl,29,1990-05-04,170,73,Austria,TSV Hartberg
M. Howard,Mark Howard,32,1986-09-21,183,76,England,Blackpool
K. Walker,Kevin Walker,29,1989-08-03,177,72,Sweden,Djurgårdens IF
F. Brustad,Fredrik Brustad,30,1989-06-22,190,87,Norway,Mjøndalen IF
E. Israelsson,Erik Israelsson,30,1989-02-25,181,73,Sweden,Vålerenga Fotball
Yu Dabao,于大宝,31,1988-04-18,182,78,China PR,Beijing Sinobo Guoan FC
R. Vikstøl,Rolf Daniel Vikstøl,30,1989-02-22,185,79,Norway,Viking FK
J. Ayala,Josué Daniel Ayala,31,1988-05-30,184,85,Argentina,Rosario Central
M. Ellis,Mark Ellis,30,1988-09-30,188,78,England,Tranmere Rovers
M. Albertazzi,Michelangelo Albertazzi,28,1991-01-07,185,73,Italy,Livorno
A. Winter,Adrian Winter,32,1986-07-08,178,75,Switzerland,FC Zürich
S. Madden,Simon Madden,31,1988-05-01,175,75,Republic of Ireland,St. Patrick's Athletic
Shin Kwang Hoon,신광훈 申光勋,32,1987-03-18,178,73,Korea Republic,Gangwon FC
J. Hoffman,Jason Hoffman,30,1989-01-28,189,79,Australia,Newcastle Jets
Koffi,Jean Romaric Kevin Koffi,33,1986-06-25,181,78,Ivory Coast,SV Waldhof Mannheim
Lu Lin,卢琳,34,1985-02-03,168,68,China PR,Guangzhou R&F FC
S. Wagstaff,Scott Wagstaff,29,1990-03-31,178,79,England,AFC Wimbledon
J. O'Toole,John-Joe O'Toole,30,1988-09-30,188,82,Republic of Ireland,Burton Albion
B. Kantarovski,Ben Kantarovski,27,1992-01-20,183,74,Australia,Newcastle Jets
Cho Soo Hyuk,조수혁 赵寿赫,32,1987-03-18,188,83,Korea Republic,Ulsan Hyundai FC
Lee Yun Pyo,이윤표 李云彪,34,1984-09-04,184,79,Korea Republic,Incheon United FC
Hong Jung Nam,홍정남 洪正男,31,1988-05-21,186,79,Korea Republic,Jeonbuk Hyundai Motors
Cho Dong Gun,조동건 赵东建,33,1986-04-16,180,75,Korea Republic,Sagan Tosu
M. Dąbrowski,Maciej Dąbrowski,32,1987-04-20,194,88,Poland,Zagłębie Lubin
D. Moxey,Dean Moxey,33,1986-01-14,180,70,England,Exeter City
B. Easton,Brian Easton,31,1988-03-05,183,76,Scotland,Hamilton Academical FC
D. Germinale,Domenico Germinale,32,1987-06-03,183,78,Italy,Pordenone
Fábinho,Fabio  Alves Macedo,34,1985-03-16,170,68,Brazil,Philadelphia Union
C. Walch,Clemens Walch,31,1987-07-10,181,77,Austria,WSG Tirol
E. Ledesma,Emmanuel Jorge Ledesma,31,1988-05-24,183,74,Argentina,FC Cincinnati
P. Taylor,Paul Taylor,31,1987-10-04,170,71,England,Stevenage
C. Klem,Christian Klem,28,1991-04-21,172,71,Austria,TSV Hartberg
A. Bittroff,Alexander Bittroff,30,1988-09-19,186,80,Germany,KFC Uerdingen 05
C. Gustafsson,Christer Gustafsson,32,1987-03-31,181,76,Sweden,IK Sirius
J. Mårtensson,Johan Mårtensson,30,1989-02-16,180,75,Sweden,Örebro SK
M. Facchinetti,Mickaël Facchinetti,28,1991-02-15,184,78,Switzerland,FC Sion
A. MacDonald,Alexander MacDonald,29,1990-04-14,170,72,Scotland,Mansfield Town
S. Caturano,Salvatore Caturano,28,1990-07-03,185,77,Italy,Virtus Entella
M. Eramo,Mirko Eramo,29,1989-07-12,180,75,Italy,Virtus Entella
T. Obadeyi,Temitope Obadeyi,29,1989-10-29,182,86,England,FC Sochaux-Montbéliard
N. Crovetto,Nicolas Ignacio Crovetto Aqueveque,33,1986-03-15,175,70,Chile,Audax Italiano
L. Kontogiannis,Lampros Kontogiannis,30,1988-08-01,184,82,Mexico,Tiburones Rojos de Veracruz
D. Telgenkamp,Dennis Telgenkamp,32,1987-05-09,192,103,Netherlands,FC Emmen
J. Clarke,Jordan Clarke,27,1991-11-19,183,71,England,Scunthorpe United
J. Bowery,Jordan Bowery,27,1991-07-02,185,76,England,Milton Keynes Dons
J. Tsoumou,Juvhel Hama Tsoumou,28,1990-12-27,188,88,Congo,FC Hermannstadt
D. Hofbauer,Dominik Hofbauer,28,1990-09-19,181,76,Austria,SKN St. Pölten
D. Powell,Daniel Powell,28,1991-03-12,187,84,England,Crewe Alexandra
R. Wallace,Rodney Wallace,31,1988-06-17,183,75,Costa Rica,Sporting Kansas City
